feature;notation;accuracy;value
q1;nl;incorrect;52,08
q1;nl;correct;47,92
q1;kv;incorrect;43,75
q1;kv;correct;56,25
q2;nl;incorrect;22,92
q2;nl;correct;77,08
q2;kv;incorrect;14,58
q2;kv;correct;85,42
q3;nl;incorrect;47,92
q3;nl;correct;52,08
q3;kv;incorrect;29,17
q3;kv;correct;70,83
q4;nl;incorrect;22,92
q4;nl;correct;77,08
q4;kv;incorrect;18,75
q4;kv;correct;81,25
q5;nl;incorrect;18,75
q5;nl;correct;81,25
q5;kv;incorrect;16,67
q5;kv;correct;83,33
q6;nl;incorrect;12,5
q6;nl;correct;87,5
q6;kv;incorrect;22,92
q6;kv;correct;77,08